"Ano Diagn�stico";"Frequ�ncia";"N�_DOSES";"Les�es_Cut�neas"
"2001";443;1307;1215
"2002";398;1001;2199
"2003";465;1272;2839
"2004";364;2454;2577
"2005";395;2654;2872
"2006";604;4539;2949
"2007";313;2832;2064
"2008";300;2861;2374
"2009";290;2666;2101
"2010";275;2534;1891
"2011";261;2412;2045
"2012";203;1800;1472
"2013";162;1551;1050
"2014";154;1486;1492
"2015";144;1604;1390
"2016";137;1577;1205
"2017";160;1507;1457
"2018";154;1386;1284
"2019";130;1096;1403
"2020";86;311;815
"Total";5442;38862;36711
