"Ano Diagnóstico";"Frequência";"N_DOSES";"Lesões_Cutâneas"
"2001";401;74;305
"2002";453;11;1592
"2003";599;342;2371
"2004";498;239;2297
"2005";526;907;2596
"2006";499;2665;2610
"2007";477;3608;2808
"2008";487;3898;3585
"2009";481;3428;2899
"2010";446;3104;2351
"2011";466;3258;2446
"2012";531;3722;3302
"2013";396;2956;2147
"2014";390;2706;2296
"2015";407;3388;2793
"2016";326;2522;2402
"2017";391;2701;2649
"2018";450;3250;3512
"2019";370;2087;2470
"2020";225;606;1548
"Total";8856;45636;49121
