"Ano Diagnóstico";"Frequência";"N_DOSES";"Lesões_Cutâneas"
"2001";152;72;742
"2002";197;44;1002
"2003";245;114;1596
"2004";217;219;1414
"2005";196;785;1133
"2006";219;1244;777
"2007";156;1107;1031
"2008";229;1840;2733
"2009";231;1692;2183
"2010";168;1372;2294
"2011";196;1507;1756
"2012";168;1417;870
"2013";153;1253;688
"2014";160;1408;812
"2015";137;1183;1103
"2016";108;838;777
"2017";131;1096;860
"2018";144;1255;962
"2019";150;1035;930
"2020";86;231;376
"Total";3447;19712;24041
