"Ano Diagnóstico";"Frequência";"N_DOSES";"Lesões_Cutâneas"
"2001";1464;852;80
"2002";1605;1425;511
"2003";1315;1048;4505
"2004";1251;1333;5060
"2005";1136;2712;4345
"2006";983;4547;3710
"2007";917;6917;3579
"2008";960;7826;4783
"2009";891;7103;4823
"2010";879;6500;4422
"2011";744;6634;4437
"2012";810;7006;3946
"2013";835;6988;4237
"2014";701;6094;3677
"2015";631;5219;3438
"2016";568;4935;3211
"2017";553;4787;3907
"2018";528;4436;3578
"2019";522;3931;3117
"2020";277;1082;1594
"Total";17608;91490;71061
