"Ano Diagn�stico";"Frequ�ncia";"N�_DOSES";"Les�es_Cut�neas"
"2001";2512;597;787
"2002";2825;436;5455
"2003";3630;972;12997
"2004";4450;1940;15731
"2005";4148;4297;17523
"2006";3596;11936;16706
"2007";3456;21055;17518
"2008";3392;23968;20318
"2009";3357;23471;18659
"2010";3258;24214;19570
"2011";3215;24119;21554
"2012";3091;23087;20531
"2013";2704;21240;17292
"2014";3219;25520;21347
"2015";3075;25445;22826
"2016";2540;20530;18542
"2017";2846;23081;20067
"2018";2707;20866;20645
"2019";2521;15947;19066
"2020";1250;3535;10047
"Total";62073;316464;337645
