"Ano Diagnóstico";"Frequência";"N_DOSES";"Lesões_Cutâneas"
"2001";2930;489;338
"2002";2808;635;918
"2003";3342;849;11762
"2004";3019;1058;13946
"2005";3022;2822;15955
"2006";2673;12797;16699
"2007";2847;20479;18353
"2008";2886;20487;21746
"2009";2541;18084;18855
"2010";2478;17664;17043
"2011";2287;18545;15741
"2012";2452;20071;15854
"2013";2427;19270;16900
"2014";2339;18833;15867
"2015";2150;17748;16623
"2016";2024;17473;14712
"2017";1858;15597;13423
"2018";2079;17089;14807
"2019";1925;13569;12622
"2020";1213;4107;7800
"Total";49525;257815;280250
