"Ano Diagn�stico";"Frequ�ncia";"N�_DOSES";"Les�es_Cut�neas"
"2001";359;2;50
"2002";401;18;1266
"2003";384;8;1753
"2004";325;112;1554
"2005";320;581;1425
"2006";310;1728;1550
"2007";303;2151;1648
"2008";293;2132;2073
"2009";284;2044;1623
"2010";259;2430;1513
"2011";247;2372;1504
"2012";245;2302;1257
"2013";238;2187;2196
"2014";363;3626;2000
"2015";294;2959;1829
"2016";231;1934;988
"2017";211;1712;1179
"2018";206;1798;1225
"2019";250;1483;1452
"2020";242;444;1258
"Total";5806;32039;29398
