"Ano Diagnóstico";"Frequência";"N_DOSES";"Lesões_Cutâneas"
"2001";1561;748;1560
"2002";1824;847;5040
"2003";1914;1130;5917
"2004";1697;1345;5522
"2005";1662;2692;5827
"2006";1334;6337;4766
"2007";1335;11186;5238
"2008";1250;10930;5493
"2009";1214;10680;5959
"2010";1114;10018;5186
"2011";1125;9877;5978
"2012";888;8272;4634
"2013";834;7637;4335
"2014";704;6477;3690
"2015";689;6062;3492
"2016";509;4728;2589
"2017";567;5490;3739
"2018";568;5382;3320
"2019";637;5318;4061
"2020";90;197;453
"Total";21579;115491;86893
