"Ano Diagn�stico";"Frequ�ncia";"N�_DOSES";"Les�es_Cut�neas"
"2001";3353;775;370
"2002";3894;1003;1599
"2003";4028;1818;18954
"2004";3999;3275;20856
"2005";3762;5501;20432
"2006";3600;21876;19137
"2007";3149;26655;19346
"2008";3312;28661;20027
"2009";3155;27196;19315
"2010";2996;24787;18884
"2011";2680;23907;18430
"2012";2640;23779;20891
"2013";2347;22495;17631
"2014";2287;22365;19306
"2015";2119;20235;18176
"2016";1786;17461;13764
"2017";1740;17631;14005
"2018";1789;18179;15955
"2019";1749;15695;16204
"2020";977;3716;9051
"Total";55664;327248;322606
