"Ano Diagn�stico";"Frequ�ncia";"N�_DOSES";"Les�es_Cut�neas"
"2000";314;351;526
"2001";5248;2547;3206
"2002";5740;3438;15385
"2003";5768;3257;21633
"2004";6118;3859;22957
"2005";6480;8153;25400
"2006";5501;26149;26048
"2007";5176;39056;27339
"2008";5265;43452;28709
"2009";4839;41023;26977
"2010";4960;42885;27901
"2011";4747;41259;26997
"2012";4800;41208;29206
"2013";4718;42235;26741
"2014";4547;41133;27077
"2015";4474;41566;26343
"2016";4264;38728;23686
"2017";4142;38705;24613
"2018";4195;40539;25759
"2019";4265;36033;25592
"2020";2316;8928;14560
"Total";98107;584692;477135
