"Ano Diagn�stico";"Frequ�ncia";"N�_DOSES";"Les�es_Cut�neas"
"2001";3939;4851;3431
"2002";3942;4991;11842
"2003";4335;5249;13512
"2004";3920;5174;12507
"2005";4196;9588;13584
"2006";3697;20882;12743
"2007";3521;28886;14312
"2008";3204;26795;14828
"2009";3219;27690;14023
"2010";3178;28968;14737
"2011";3292;29894;14363
"2012";3223;30090;14744
"2013";3607;33977;16176
"2014";3747;34835;15895
"2015";3864;36680;17087
"2016";3474;34526;16590
"2017";4426;44055;19291
"2018";5851;59844;27695
"2019";5627;51210;25316
"2020";2796;12482;15132
"Total";77501;531704;308583
