"Ano Diagnóstico";"Frequência";"N_DOSES";"Lesões_Cutâneas"
"2001";623;1424;476
"2002";701;1580;1561
"2003";788;1812;3017
"2004";793;1824;3005
"2005";689;1772;2545
"2006";689;3375;2943
"2007";665;5362;3388
"2008";737;6024;4175
"2009";791;6242;4079
"2010";837;7693;4229
"2011";936;8669;5023
"2012";1080;9956;5664
"2013";979;9596;4933
"2014";1299;12329;6411
"2015";920;8817;4693
"2016";566;5465;3728
"2017";550;5382;3685
"2018";511;4832;3804
"2019";651;4996;4036
"2020";327;874;2065
"Total";15164;108089;73529
