"Ano Diagnóstico";"Frequência";"N_DOSES";"Lesões_Cutâneas"
"2001";3088;4863;17917
"2002";3760;6603;20552
"2003";3613;8366;19969
"2004";3450;9499;17774
"2005";3262;9215;17640
"2006";2789;16497;15771
"2007";2454;20972;16504
"2008";2178;19277;16487
"2009";2083;18497;14682
"2010";1819;16245;15040
"2011";1783;15931;14392
"2012";1711;14864;13691
"2013";1468;13034;12156
"2014";1454;13411;11200
"2015";1393;13111;11191
"2016";1370;13012;10135
"2017";1403;13614;10972
"2018";1407;13250;10289
"2019";1472;10843;11047
"2020";869;2708;6753
"Total";42995;254175;285133
