"Ano Diagn�stico";"Frequ�ncia";"N�_DOSES";"Les�es_Cut�neas"
"2001";885;136;887
"2002";985;312;1851
"2003";1030;317;2973
"2004";1002;376;4151
"2005";1135;1027;4303
"2006";1058;3679;4783
"2007";944;6507;4515
"2008";878;6144;4343
"2009";877;5822;4850
"2010";768;4947;4173
"2011";867;6517;5089
"2012";835;6101;4385
"2013";774;5879;4456
"2014";708;4308;4176
"2015";641;3877;3874
"2016";550;3898;3944
"2017";592;4029;4133
"2018";640;4655;3835
"2019";759;3815;4729
"2020";358;774;2070
"Total";16319;73155;77599
