"Ano Diagnóstico";"Frequência";"N_DOSES";"Lesões_Cutâneas"
"2001";1753;2316;1367
"2002";1934;3104;3644
"2003";1990;3271;12295
"2004";2120;3865;16119
"2005";1895;6425;13793
"2006";1780;12591;15211
"2007";1571;14002;14134
"2008";1556;14495;16250
"2009";1371;12690;14461
"2010";1246;11347;13823
"2011";1211;12125;15481
"2012";1202;12131;15484
"2013";1065;11104;15391
"2014";929;10194;12318
"2015";933;10451;13022
"2016";743;8233;10078
"2017";770;8414;9918
"2018";728;7389;10644
"2019";739;5946;8422
"2020";445;1653;5145
"Total";26185;172284;237394
