"Ano Diagnóstico";"Frequência";"N_DOSES";"Lesões_Cutâneas"
"2001";3282;1996;1573
"2002";3625;2581;7587
"2003";3519;2249;17825
"2004";3299;3152;18367
"2005";2987;6097;17453
"2006";2845;13458;17099
"2007";2530;19029;17455
"2008";2387;19873;18661
"2009";2302;19321;17462
"2010";2141;18924;16642
"2011";2083;18156;17058
"2012";1822;15878;13899
"2013";1539;13585;12354
"2014";1474;12599;11862
"2015";1379;12167;12247
"2016";1112;10039;9356
"2017";1181;9953;9010
"2018";1185;9969;9290
"2019";1133;7776;8117
"2020";637;1953;4907
"Total";42788;219250;258809
