"Ano Diagn�stico";"Frequ�ncia";"N�_DOSES";"Les�es_Cut�neas"
"2001";254;47;7
"2002";274;150;29
"2003";287;120;525
"2004";362;285;986
"2005";536;816;1544
"2006";355;1577;1366
"2007";424;2787;2048
"2008";329;2223;1983
"2009";360;2426;1521
"2010";303;2136;1689
"2011";299;1938;1297
"2012";370;2739;2123
"2013";322;2262;1599
"2014";316;2342;1977
"2015";307;2340;1960
"2016";223;1663;1222
"2017";296;2310;1894
"2018";306;2393;1724
"2019";228;1347;1610
"2020";193;406;1142
"Total";6350;32315;28248
