"Ano Diagnóstico";"Frequência";"N_DOSES";"Lesões_Cutâneas"
"2001";223;36;811
"2002";281;77;2335
"2003";266;159;2242
"2004";265;80;2209
"2005";268;346;2680
"2006";259;1361;2000
"2007";230;1732;2208
"2008";228;1869;2574
"2009";200;1657;2212
"2010";197;1452;1882
"2011";194;1543;1984
"2012";180;1339;1616
"2013";192;1602;1876
"2014";175;1700;1598
"2015";165;1587;1316
"2016";153;1376;1731
"2017";175;1428;1326
"2018";188;1526;1564
"2019";135;676;824
"2020";70;178;555
"Total";4099;21757;35773
