"Ano Diagn�stico";"Frequ�ncia";"N�_DOSES";"Les�es_Cut�neas"
"2001";1291;142;121
"2002";1364;239;3790
"2003";1572;352;4756
"2004";1490;623;4406
"2005";1412;1315;4482
"2006";1519;7717;4994
"2007";1362;10598;4612
"2008";1247;10173;4393
"2009";1226;10088;4777
"2010";1067;9146;3815
"2011";996;8901;4232
"2012";935;8657;4191
"2013";856;8202;3426
"2014";824;8020;4004
"2015";705;6942;3588
"2016";566;5769;2756
"2017";632;6207;2931
"2018";876;8718;3916
"2019";616;3031;2993
"2020";405;1799;2123
"Total";21058;116727;74416
