"Ano Diagn�stico";"Frequ�ncia";"N�_DOSES";"Les�es_Cut�neas"
"2001";213;384;451
"2002";267;229;1820
"2003";293;353;1970
"2004";291;255;1771
"2005";266;485;2099
"2006";262;1508;1685
"2007";263;2458;2655
"2008";256;2516;3674
"2009";227;1981;2634
"2010";255;2315;3057
"2011";282;2623;3258
"2012";251;2383;2738
"2013";197;1716;2087
"2014";195;1731;2157
"2015";204;1958;2250
"2016";195;1788;2302
"2017";167;1405;1478
"2018";172;1461;1359
"2019";226;1464;2279
"2020";127;343;1028
"Total";4640;29392;43056
