"Ano Diagn�stico";"Frequ�ncia";"N�_DOSES";"Les�es_Cut�neas"
"2001";3570;4647;3523
"2002";3502;5065;13291
"2003";3521;4425;15650
"2004";3224;5514;16599
"2005";3011;9440;16424
"2006";2639;15696;15767
"2007";2628;23220;17342
"2008";2626;24298;20670
"2009";2343;22017;17831
"2010";2202;20766;16681
"2011";2190;21186;18291
"2012";2074;20941;16537
"2013";1963;20439;16864
"2014";1889;19994;15908
"2015";1671;17754;13557
"2016";1757;19074;14507
"2017";1595;17395;13802
"2018";1646;17651;13874
"2019";1589;14489;12405
"2020";811;2813;6700
"Total";47010;307720;297325
