"Ano Diagnóstico";"Frequência";"N_DOSES";"Lesões_Cutâneas"
"2001";349;114;976
"2002";498;367;2026
"2003";665;454;2757
"2004";641;795;3448
"2005";754;1266;3402
"2006";627;3473;2973
"2007";646;5130;3366
"2008";535;4602;3691
"2009";602;5099;3401
"2010";494;4368;3134
"2011";514;4470;3142
"2012";548;4870;3119
"2013";459;4112;2672
"2014";482;4077;2763
"2015";439;3680;2436
"2016";374;3299;2569
"2017";453;4301;3768
"2018";426;3793;3253
"2019";385;3303;2833
"2020";284;1192;2269
"Total";10235;62875;58237
