"Ano Diagnóstico";"Frequência";"N_DOSES";"Lesões_Cutâneas"
"2001";1353;4085;4564
"2002";1250;3937;4959
"2003";1409;4715;6246
"2004";1486;6225;6355
"2005";1469;6235;6123
"2006";1569;9057;6699
"2007";1518;11912;6111
"2008";1672;13064;7463
"2009";1405;11615;7447
"2010";1316;11139;7279
"2011";1259;10841;7608
"2012";1218;10362;8571
"2013";1104;9136;9202
"2014";1268;10593;8983
"2015";1083;9581;8747
"2016";1734;16622;10872
"2017";1687;16853;12275
"2018";2210;22284;14044
"2019";1985;18846;11249
"2020";1018;4962;6021
"Total";29520;213916;162855
